acronym,structure_id
ARH,223
SO,390
DMH,830
AVPV,272
LPO,226
SCH,286
PMd,980
SUM,525
PVa,30
ME,10671
LHA,194
MPO,523
PMv,1004
PH,946
PVH,38
AHN,88
TU,614
PVpo,133
LM,210
TM,557
MM,491
MPN,515
PVi,118
ZI,797
VMH,693
MEPO,452
MMp,606826655
DMHp,676
PST,356
AVP,263
PVHf,447
SBPV,347
LZ,290
AHNd,716
PS,1109
MPNc,740
SUMl,1110
MPNl,748
PVHlp,455
MMm,606826651
HY,1097
TMv,1
AHA,80
PVHdp,439
MMd,606826659
PVHmm,79
VLPO,689
NC,432
VMHvl,785
ADP,72
VMHa,761
PVHd,63
PVp,126
RCH,173
MPNm,756
PVHam,47
DMHa,668
PVHap,55
PVHpml,652
VMPO,576073699
OV,763
DMHv,684
AHNa,700
MMme,732
STN,470
PSCH,1124
PVR,141
PVZ,157
AHNc,708
PVHpmm,660
PVHmpd,87
SFO,338
AHNp,724
PVHp,94
PD,914
MMl,606826647
MEZ,467
PVHpv,110
FF,804
PVHmpv,464
PeF,576073704
VMHc,769
PVHm,71
PSTN,364
VMHdm,777
MBO,331
ASO,332
SUMm,1118
PVHpm,103
TMd,1126
A13,796
